x,y,index,sentence,label
0.1,0.95,t1s1,rapidly advancing technology has been seen as a marker of contemporary modernity.,Zero
0.1,0.9,t1s2,it has been a formidable vessel in transporting old world values and traditions into a new world of innovation and deviation.,Zero
0.1,0.85,t1s3,"in the legal world, the growing area of cyber-crime, metadata and privacy laws all affirm the idea that technological change is inescapable.",Zero
0.1,0.8,t1s4,"the implementation of video conferencing technologies in courts reflect an attempt by the judiciary to give effect to case-management principles and the overriding purpose - that is, the 'just, quick and cheap' resolution.",Zero
0.1,0.75,t1s5,do the benefits of video conferencing in civil trials outweigh the risks identified by salyzyn [1]?,Zero
0.1,0.7,t1s6,"while video conferencing in civil trials does generally reduce costs, promote access to justice and is generally quicker than in-person examinations, the pursuit of such technologies should only be engaged with as a last resort for the purpose of upholding the integrity of the law in the australian context.",Zero
0.1,0.65,t1s7,"the current stance of australian courts considering the access to justice in light of salyzyn's arguments, particularly the latter, is of interest.",Zero
0.1,0.6,t1s8,"part three will examine the role of video conferencing in breaking down traditional social barriers before investigating and evaluating the cost and quality of video conferencing by considering credibility assessments and emotional connection, and part five will examine the impact of video conferencing on the public perception of the legal system.",Zero
0.2,0.95,t2s1,"in the legal world, the growing area of cyber-crime, metadata and privacy laws all affirm the idea that technological change is inescapable.",Zero
0.2,0.9,t2s2,"the implementation of video conferencing technologies in courts reflect an attempt by the judiciary to give effect to case-management principles and the overriding purpose - that is, the 'just, quick and cheap' resolution of a dispute.",Zero
0.2,0.85,t2s3,"author amy salyzyn1 outlinesÃ‚Â  the benefits of video conferencing in civil trials, but questions whether such benefits outweigh risks as identified.",One
0.2,0.8,t2s4,"despite video conferencing generally reducing costs and is generally quicker than in-person examinations, the pursuit of such technologies should only be engaged with as a last resort for the purpose of upholding the integrity of the law in the australian context.",Zero
0.2,0.75,t2s5,"the paper will ascertain the current stance of australian courts considering the issue of access to justice in light of salyzyn's arguments, particularly the latter.",One
0.2,0.7,t2s6,"part three will examine the role of video conferencing in breaking down traditional social barriers before investigating and evaluating the cost and quality of video conferencing by considering the issue of credibility assessments and emotional connection and finally, part five will examine the impact of video conferencing on the public perception of the legal system.",Zero
0.3,0.95,t3s1,"in the legal world, the growing area of cyber-crime, metadata and privacy laws all affirm the idea that technological change is inescapable.",Zero
0.3,0.9,t3s2,"the implementation of video conferencing technologies in courts reflect an attempt by the judiciary to give effect to case-management principles and the overriding purpose - that is, the 'just, quick and cheap' resolution of a dispute.",Zero
0.3,0.85,t3s3,"author amy salyzyn1 outlinesÃ‚Â  the benefits of video conferencing in civil trials, but questions whether such benefits outweigh risks as identified.",One
0.3,0.8,t3s4,"despite video conferencing generally reducing costs and is generally quicker than in-person examinations, the pursuit of technologies should enhance the integrity of the law in applying a just resolution to proceedings.",Zero
0.3,0.75,t3s5,"this paper will ascertain the current stance of australian courts considering the issue of access to justice in light of salyzyn's arguments, particularly the latter.",Two
0.3,0.7,t3s6,"in part 1 of this papÃ‚Â the current stance of australian courtspart three will examine the role of video conferencing in breaking down traditional social barriers before investigating and evaluating the cost and quality of video conferencing by considering the issue of credibility assessments and emotional connection and finally, part five will examine the impact of video conferencing on the public perception of the legal system.",Zero
0.4,0.95,t4s1,"in the legal world, the growing area of cyber-crime, metadata and privacy laws all affirm the idea that technological change is inescapable.",Zero
0.4,0.9,t4s2,"the implementation of video conferencing technologies in courts reflect an attempt by the judiciary to give effect to case-management principles and the overriding purpose - that is, the 'just, quick and cheap' resolution of a dispute.",Zero
0.4,0.85,t4s3,"author amy salyzyn1 outlinesÂ  the benefits of video conferencing in civil trials, but questions whether such benefits outweigh risks as identified.",One
0.4,0.8,t4s4,"despite video conferencing generally reducing costs and is generally quicker than in-person examinations, the pursuit of technologies should enhance the integrity of the law in applying a just resolution to proceedings.",Zero
0.4,0.75,t4s5,"this paper will ascertain the current stance of australian courts considering the issue of access to justice in light of salyzyn's arguments, particularly the latter.",Two
0.4,0.7,t4s6,"in part 1 of this paper, the current stance of australian courts in relation to how and when technology is utilised will be examined.",Zero
0.4,0.65,t4s7,"itÂ will examine the impact technology has on the requirements of a just, quick and cheap resolution of the proceedings, whilst considering the impacts technology may have on vulnerable witnesses.",Zero
0.4,0.6,t4s8,"papÂ the current stance of australian courtspart three will examine the role of video conferencing in breaking down traditional social barriers before investigating and evaluating the cost and quality of video conferencing by considering the issue of credibility assessments and emotional connection and finally, part five will examine the impact of video conferencing on the public perception of the legal system.",Zero
0.5,0.95,t5s1,"in the legal world, the growing area of cyber-crime, metadata and privacy laws all affirm the idea that technological change is inescapable.",Zero
0.5,0.90,t5s2,"the implementation of video conferencing technologies in courts reflect an attempt by the judiciary to give effect to case-management principles and the overriding purpose - that is, the 'just, quick and cheap' resolution of a dispute.",Zero
0.5,0.85,t5s3,"author amy salyzyn1 outlines  the benefits of video conferencing in civil trials, but questions whether such benefits outweigh risks as identified.",One
0.5,0.80,t5s4,"despite video conferencing generally reducing costs and is generally quicker than in-person examinations, the pursuit of technologies should enhance the integrity of the law in applying a just resolution to proceedings.",Zero
0.5,0.75,t5s5,"this paper will ascertain the current stance of australian courts considering the issue of access to justice in light of salyzyn's arguments, particularly the latter.",Two
0.5,0.70,t5s6,"in part 1 of this paper, the current stance of australian courts in relation to how and when technology is utilised will be examined.",Zero
0.5,0.65,t5s7,"it will examine the impact technology has on the requirements of a just, quick and cheap resolution of the proceedings, whilst considering the impacts technology may have on vulnerable witnesses.",Zero
0.5,0.60,t5s8,part five of this paper will examine the impact of video conferencing on the public perception of the legal system.,Zero
